"interview_id","date","location","shift_block","day_type","month","time_start","time_end","hours_fished","party_size","anglers","target_species","catch_total","catch_kept","catch_released","trip_complete","interview_complete","refused"
"2024-06-01_East Pier_afternoon_1",2024-06-01,"East Pier","afternoon","weekend","Jun",2024-06-01 14:28:14.931473,2024-06-01 15:41:32.320607,1.22149698178918,2,2,"Panfish",1,1,0,TRUE,TRUE,FALSE
"2024-06-01_East Pier_morning_1",2024-06-01,"East Pier","morning","weekend","Jun",2024-06-01 07:32:59.597158,2024-06-01 11:21:11.175265,3.80321614065472,3,3,"Panfish",4,1,3,TRUE,TRUE,FALSE
"2024-06-01_East Pier_morning_2",2024-06-01,"East Pier","morning","weekend","Jun",2024-06-01 07:45:06.990715,2024-06-01 10:36:20.343441,2.85370909070237,1,1,"Panfish",5,5,0,TRUE,TRUE,FALSE
"2024-06-01_East Pier_morning_3",2024-06-01,"East Pier","morning","weekend","Jun",2024-06-01 09:07:44.3104,2024-06-01 10:43:22.183825,1.59385372907012,2,2,"Panfish",1,1,0,TRUE,TRUE,FALSE
"2024-06-01_East Pier_morning_4",2024-06-01,"East Pier","morning","weekend","Jun",2024-06-01 09:49:01.247615,2024-06-01 12:01:29.576999,2.207869273272,3,3,"Walleye",0,0,0,FALSE,TRUE,FALSE
"2024-06-01_North Ramp_morning_1",2024-06-01,"North Ramp","morning","weekend","Jun",2024-06-01 06:11:04.55698,2024-06-01 10:04:15.214418,3.88629373267901,3,3,"Bass",9,1,8,TRUE,TRUE,FALSE
"2024-06-01_North Ramp_morning_2",2024-06-01,"North Ramp","morning","weekend","Jun",2024-06-01 06:44:03.768115,2024-06-01 08:19:51.509655,1.59659487219738,2,2,"Walleye",0,0,0,TRUE,TRUE,FALSE
"2024-06-01_North Ramp_morning_3",2024-06-01,"North Ramp","morning","weekend","Jun",2024-06-01 07:37:16.569422,2024-06-01 16:44:16.867867,9.11674956822066,3,3,"Walleye",15,7,8,TRUE,TRUE,FALSE
"2024-06-01_North Ramp_morning_4",2024-06-01,"North Ramp","morning","weekend","Jun",2024-06-01 08:39:58.415339,2024-06-01 11:35:43.147508,2.92909226927108,2,2,"Catfish",5,3,2,TRUE,TRUE,FALSE
"2024-06-01_North Ramp_morning_5",2024-06-01,"North Ramp","morning","weekend","Jun",2024-06-01 08:00:49.722512,2024-06-01 11:33:07.792613,3.53835280577773,2,2,"Bass",4,2,2,TRUE,TRUE,FALSE
"2024-06-01_North Ramp_morning_6",2024-06-01,"North Ramp","morning","weekend","Jun",2024-06-01 07:14:25.215957,2024-06-01 12:37:50.520317,5.39036232232362,4,4,"Bass",8,3,5,TRUE,TRUE,FALSE
"2024-06-01_North Ramp_morning_7",2024-06-01,"North Ramp","morning","weekend","Jun",2024-06-01 06:45:01.469636,2024-06-01 11:51:54.154351,5.11463464300636,2,2,"Bass",11,1,10,TRUE,TRUE,FALSE
"2024-06-01_North Ramp_morning_8",2024-06-01,"North Ramp","morning","weekend","Jun",2024-06-01 07:38:16.002765,2024-06-01 11:30:16.876013,3.86690923564769,2,2,"Bass",8,2,6,TRUE,TRUE,FALSE
"2024-06-01_North Ramp_morning_9",2024-06-01,"North Ramp","morning","weekend","Jun",2024-06-01 08:44:21.484508,2024-06-01 09:44:21.484508,1,2,2,"Panfish",4,2,2,TRUE,TRUE,FALSE
"2024-06-01_South Ramp_afternoon_1",2024-06-01,"South Ramp","afternoon","weekend","Jun",2024-06-01 16:33:28.943849,2024-06-01 19:42:47.07391,3.15503612806586,1,1,"Bass",3,0,3,TRUE,TRUE,FALSE
"2024-06-01_South Ramp_afternoon_2",2024-06-01,"South Ramp","afternoon","weekend","Jun",2024-06-01 15:13:22.012348,2024-06-01 20:30:03.956573,5.27831784013684,1,1,"Catfish",5,4,1,FALSE,TRUE,FALSE
"2024-06-01_South Ramp_afternoon_3",2024-06-01,"South Ramp","afternoon","weekend","Jun",2024-06-01 19:40:43.892682,2024-06-01 22:31:23.278637,2.84427387625182,2,2,"Panfish",10,6,4,TRUE,TRUE,FALSE
"2024-06-01_South Ramp_afternoon_4",2024-06-01,"South Ramp","afternoon","weekend","Jun",2024-06-01 18:50:55.037852,2024-06-02 01:09:34.717971,6.31102225544048,1,1,"Bass",5,0,5,TRUE,TRUE,FALSE
"2024-06-01_South Ramp_afternoon_5",2024-06-01,"South Ramp","afternoon","weekend","Jun",2024-06-01 19:28:20.940682,2024-06-02 00:08:10.075118,4.66364845439411,3,3,"Walleye",0,0,0,TRUE,TRUE,FALSE
"2024-06-01_South Ramp_afternoon_6",2024-06-01,"South Ramp","afternoon","weekend","Jun",2024-06-01 15:10:49.47082,2024-06-01 21:06:22.414871,5.92581779188477,2,2,"Catfish",5,1,4,TRUE,TRUE,FALSE
"2024-06-01_South Ramp_morning_1",2024-06-01,"South Ramp","morning","weekend","Jun",2024-06-01 09:26:51.923517,2024-06-01 15:25:55.038738,5.9841986723854,1,1,"Panfish",23,20,3,TRUE,TRUE,FALSE
"2024-06-01_South Ramp_morning_2",2024-06-01,"South Ramp","morning","weekend","Jun",2024-06-01 06:26:59.930716,2024-06-01 15:23:47.009067,8.94641065311798,2,2,"Bass",10,1,9,TRUE,TRUE,FALSE
"2024-06-01_South Ramp_morning_3",2024-06-01,"South Ramp","morning","weekend","Jun",2024-06-01 06:09:52.950435,2024-06-01 09:01:51.753453,2.86633417153476,3,3,"Walleye",3,0,3,TRUE,TRUE,FALSE
"2024-06-01_South Ramp_morning_4",2024-06-01,"South Ramp","morning","weekend","Jun",2024-06-01 08:41:07.252027,2024-06-01 13:37:42.38018,4.94309115377482,1,1,"Bass",6,1,5,TRUE,TRUE,FALSE
"2024-06-01_South Ramp_morning_5",2024-06-01,"South Ramp","morning","weekend","Jun",2024-06-01 09:55:02.325459,2024-06-01 11:26:20.449043,1.52170099535125,1,1,"Bass",1,0,1,TRUE,TRUE,FALSE
"2024-06-01_South Ramp_morning_6",2024-06-01,"South Ramp","morning","weekend","Jun",2024-06-01 09:56:09.282895,2024-06-01 12:26:33.217209,2.50664842071369,1,1,"Panfish",11,9,2,TRUE,TRUE,FALSE
