interview_id,date,time_start,time_end,location,mode,party_size,hours_fished,target_species,catch_total,catch_kept,catch_released,weight_total,trip_complete,effort_expansion
I001,2025-07-01,08:00,10:00,Lake1,boat,2,2.0,Bass,5,2,3,4.5,TRUE,1.0
I002,2025-07-02,09:00,11:00,Lake1,bank,1,2.0,Trout,2,1,1,1.2,TRUE,1.0
I003,2025-07-03,10:00,12:00,Lake2,boat,3,2.5,Walleye,4,3,1,3.8,FALSE,1.1
I004,2025-07-04,11:00,13:00,Lake2,ice,2,2.0,Perch,6,6,0,2.5,TRUE,1.0
I005,2025-07-05,12:00,14:00,Lake3,boat,4,3.0,Bass,7,5,2,6.0,FALSE,1.2
I006,2025-07-06,13:00,15:00,Lake3,bank,2,2.5,Trout,3,2,1,2.0,TRUE,1.0
I007,2025-07-07,14:00,16:00,Lake1,boat,1,2.0,Walleye,2,2,0,2.2,TRUE,1.0
I008,2025-07-08,15:00,17:00,Lake2,bank,3,2.5,Perch,5,3,2,2.8,FALSE,1.1
I009,2025-07-09,16:00,18:00,Lake3,boat,2,2.0,Bass,6,4,2,5.0,TRUE,1.0
I010,2025-07-10,08:30,10:30,Lake1,ice,1,2.0,Trout,1,1,0,1.0,TRUE,1.0
I011,2025-07-11,09:30,11:30,Lake2,boat,3,2.5,Walleye,3,2,1,3.0,FALSE,1.2
I012,2025-07-12,10:30,12:30,Lake3,bank,2,2.0,Perch,4,4,0,2.0,TRUE,1.0
I013,2025-07-13,11:30,13:30,Lake1,boat,4,3.0,Bass,8,6,2,7.0,FALSE,1.1
I014,2025-07-14,12:30,14:30,Lake2,bank,1,2.5,Trout,2,1,1,1.5,TRUE,1.0
I015,2025-07-15,13:30,15:30,Lake3,boat,2,2.0,Walleye,5,5,0,4.5,TRUE,1.0
I016,2025-07-16,14:30,16:30,Lake1,bank,3,2.5,Perch,6,4,2,3.0,FALSE,1.2
I017,2025-07-17,15:30,17:30,Lake2,boat,2,2.0,Bass,7,5,2,6.0,TRUE,1.0
I018,2025-07-18,16:30,18:30,Lake3,ice,1,2.0,Trout,1,1,0,1.0,TRUE,1.0
I019,2025-07-19,08:00,10:00,Lake1,boat,3,2.5,Walleye,4,3,1,3.8,FALSE,1.1
I020,2025-07-20,09:00,11:00,Lake2,bank,2,2.0,Perch,5,3,2,2.8,TRUE,1.0
I021,2025-07-21,10:00,12:00,Lake3,boat,1,2.0,Bass,6,4,2,5.0,TRUE,1.0
I022,2025-07-22,11:00,13:00,Lake1,ice,2,2.0,Trout,2,2,0,2.0,TRUE,1.0
I023,2025-07-23,12:00,14:00,Lake2,boat,3,2.5,Walleye,3,2,1,3.0,FALSE,1.2
I024,2025-07-24,13:00,15:00,Lake3,bank,2,2.0,Perch,4,4,0,2.0,TRUE,1.0
I025,2025-07-25,14:00,16:00,Lake1,boat,4,3.0,Bass,8,6,2,7.0,FALSE,1.1
